L1,L2,L3,GROUP_DVS_CD,관리 계정 코드,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,계정코드,,계정명,,계정코드,,계정명
,,,,HR-203,20111509,1,예수금(고용보험료(직원)),,,유동부채 (2011),예수금 (201115),20111509,1,예수금(고용보험료(직원)),,,유동부채 (2011),예수금 (201115),20111509,1,예수금(고용보험료(직원)),,,,,,,,
,,,,HR-203,20111511,1,예수금(고용보험료(임직)),,,유동부채 (2011),예수금 (201115),20111511,1,예수금(고용보험료(임직)),,,유동부채 (2011),예수금 (201115),20111511,1,예수금(고용보험료(임직)),,,,,,,,
,,산재보험,,HR-204,60115721,1,복리후생비(산재보험료),,일반관리비,판매비및일반관리비 (6011),보험료 (601151),60115721,1,복리후생비(산재보험료),,일반관리비,판매비및일반관리비 (6011),보험료 (601151),60115721,1,복리후생비(산재보험료),,,,,,,,
,,,,HR-204,60115119,1,보험료(산재보험료),,일반관리비,판매비및일반관리비 (6011),보험료 (601151),60115119,1,보험료(산재보험료),,일반관리비,판매비및일반관리비 (6011),보험료 (601151),60115119,1,보험료(산재보험료),,,,,,,,
,,,,HR-204,50152527,1,원가)복리후생비(산재보험료),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152527,1,원가)복리후생비(산재보험료),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152527,1,원가)복리후생비(산재보험료),,,,,,,,
,,,,HR-204,50151919,1,원가)보험료(산재보험료),,용역원가,경 비 (5015),원가)보험료 (501519),50151919,1,원가)보험료(산재보험료),,용역원가,경 비 (5015),원가)보험료 (501519),50151919,1,원가)보험료(산재보험료),,,,,,,,
기술/인프라비,S/W,SW 구매(영구),ETC,IT-101,10332707,1,공구와기구(소프트웨어),,일반관리비,유형자산 (1033),공구와기구 (103327),10332707,1,공구와기구(소프트웨어),,일반관리비,유형자산 (1033),공구와기구 (103327),10332707,1,공구와기구(소프트웨어),,210,,공구와기구,,,,
,,,ETC,IT-101,10352101,1,소프트웨어,,,무형자산 (1035),소프트웨어 (103521),10352101,1,소프트웨어,,,무형자산 (1035),소프트웨어 (103521),10352101,1,소프트웨어,,,,,,,,
,,SW구매(구독),ETC,IT-102,60116305,1,지급수수료(소프트웨어),,일반관리비,판매비및일반관리비 (6011),지급수수료 (601163),60116305,1,지급수수료(소프트웨어),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114773,1,경상시험연구비(소프트웨어(정보화투자)),,,,,,,,
,,,ETC,IT-102,60114735,1,경상시험연구비(지급수수료(정보화투자)),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114735,1,경상시험연구비(지급수수료(정보화투자)),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114735,1,경상시험연구비(지급수수료(정보화투자)),,,,,,,,
,,,ETC,IT-102,50153107,1,원가)지급수수료(소프트웨어),,용역원가,경 비 (5015),원가)지급수수료 (501531),50153107,1,원가)지급수수료(소프트웨어),,,,,,,,,,,,,,,
